,state,type,clust
WAART,WA,ART,m
WAOTH,WA,OTH,o
WAFIN,WA,FIN,n
WAWHO,WA,WHO,t
WAPRO,WA,PRO,e
WAGOV,WA,GOV,e
WACON,WA,CON,o
WVINF,WV,INF,h
WVAGR,WV,AGR,b
WVRET,WV,RET,v
WVTRA,WV,TRA,s
WVNDU,WV,NDU,u
WVHLT,WV,HLT,e
WVDUR,WV,DUR,w
WVACC,WV,ACC,q
WVUTI,WV,UTI,g
WVMNG,WV,MNG,i
WVADM,WV,ADM,i
WVMIN,WV,MIN,f
WVRER,WV,RER,k
WVEDC,WV,EDC,l
WVART,WV,ART,x
WVOTH,WV,OTH,d
WVFIN,WV,FIN,q
WVWHO,WV,WHO,c
WVPRO,WV,PRO,m
WVGOV,WV,GOV,x
WVCON,WV,CON,q
WIINF,WI,INF,e
WIAGR,WI,AGR,f
WIRET,WI,RET,a
WITRA,WI,TRA,v
WINDU,WI,NDU,b
WIHLT,WI,HLT,e
WIDUR,WI,DUR,w
WIACC,WI,ACC,w
WIUTI,WI,UTI,g
WIMNG,WI,MNG,f
WIADM,WI,ADM,i
WIMIN,WI,MIN,f
WIRER,WI,RER,k
WIEDC,WI,EDC,k
WIART,WI,ART,g
WIOTH,WI,OTH,d
WIFIN,WI,FIN,n
WIWHO,WI,WHO,t
WIPRO,WI,PRO,h
WIGOV,WI,GOV,x
WICON,WI,CON,j
WYINF,WY,INF,e
WYAGR,WY,AGR,g
WYRET,WY,RET,m
WYTRA,WY,TRA,m
WYNDU,WY,NDU,r
WYHLT,WY,HLT,k
WYDUR,WY,DUR,q
WYACC,WY,ACC,c
WYUTI,WY,UTI,g
WYMNG,WY,MNG,q
WYADM,WY,ADM,k
WYMIN,WY,MIN,u
WYRER,WY,RER,i
WYEDC,WY,EDC,l
WYART,WY,ART,i
WYOTH,WY,OTH,c
WYFIN,WY,FIN,q
WYWHO,WY,WHO,i
WYPRO,WY,PRO,k
WYGOV,WY,GOV,k
WYCON,WY,CON,u
