,state,type,clust
GAUTI,GA,UTI,g
GAMNG,GA,MNG,w
GAADM,GA,ADM,f
GAMIN,GA,MIN,d
GARER,GA,RER,f
GAEDC,GA,EDC,k
GAART,GA,ART,i
GAOTH,GA,OTH,j
GAFIN,GA,FIN,i
GAWHO,GA,WHO,t
GAPRO,GA,PRO,e
GAGOV,GA,GOV,u
GACON,GA,CON,j
HIINF,HI,INF,p
HIAGR,HI,AGR,b
HIRET,HI,RET,w
HITRA,HI,TRA,h
HINDU,HI,NDU,y
HIHLT,HI,HLT,e
HIDUR,HI,DUR,p
HIACC,HI,ACC,v
HIUTI,HI,UTI,g
HIMNG,HI,MNG,w
HIADM,HI,ADM,i
HIMIN,HI,MIN,u
HIRER,HI,RER,e
HIEDC,HI,EDC,x
HIART,HI,ART,m
HIOTH,HI,OTH,j
HIFIN,HI,FIN,n
HIWHO,HI,WHO,t
HIPRO,HI,PRO,e
HIGOV,HI,GOV,k
HICON,HI,CON,r
IDINF,ID,INF,h
IDAGR,ID,AGR,f
IDRET,ID,RET,t
IDTRA,ID,TRA,t
IDNDU,ID,NDU,m
IDHLT,ID,HLT,e
IDDUR,ID,DUR,g
IDACC,ID,ACC,t
IDUTI,ID,UTI,g
IDMNG,ID,MNG,d
IDADM,ID,ADM,t
IDMIN,ID,MIN,x
IDRER,ID,RER,m
IDEDC,ID,EDC,k
IDART,ID,ART,h
IDOTH,ID,OTH,o
IDFIN,ID,FIN,q
IDWHO,ID,WHO,t
IDPRO,ID,PRO,h
IDGOV,ID,GOV,r
IDCON,ID,CON,o
ILINF,IL,INF,h
ILAGR,IL,AGR,y
ILRET,IL,RET,o
ILTRA,IL,TRA,c
ILNDU,IL,NDU,n
ILHLT,IL,HLT,e
ILDUR,IL,DUR,c
ILACC,IL,ACC,f
ILUTI,IL,UTI,g
ILMNG,IL,MNG,w
ILADM,IL,ADM,h
ILMIN,IL,MIN,j
ILRER,IL,RER,i
ILEDC,IL,EDC,k
ILART,IL,ART,f
ILOTH,IL,OTH,d
ILFIN,IL,FIN,n
ILWHO,IL,WHO,f
ILPRO,IL,PRO,h
ILGOV,IL,GOV,s
ILCON,IL,CON,d
ININF,IN,INF,e
INAGR,IN,AGR,y
INRET,IN,RET,a
INTRA,IN,TRA,c
INNDU,IN,NDU,u
INHLT,IN,HLT,e
INDUR,IN,DUR,w
INACC,IN,ACC,w
INUTI,IN,UTI,g
INMNG,IN,MNG,f
INADM,IN,ADM,i
INMIN,IN,MIN,f
INRER,IN,RER,i
INEDC,IN,EDC,l
INART,IN,ART,q
INOTH,IN,OTH,j
INFIN,IN,FIN,n
INWHO,IN,WHO,t
INPRO,IN,PRO,e
INGOV,IN,GOV,r
INCON,IN,CON,j
IAINF,IA,INF,p
IAAGR,IA,AGR,y
IARET,IA,RET,h
IATRA,IA,TRA,c
IANDU,IA,NDU,r
IAHLT,IA,HLT,e
IADUR,IA,DUR,w
IAACC,IA,ACC,f
IAUTI,IA,UTI,p
IAMNG,IA,MNG,f
IAADM,IA,ADM,k
IAMIN,IA,MIN,d
IARER,IA,RER,k
IAEDC,IA,EDC,l
IAART,IA,ART,p
IAOTH,IA,OTH,j
IAFIN,IA,FIN,n
IAWHO,IA,WHO,i
IAPRO,IA,PRO,e
IAGOV,IA,GOV,e
IACON,IA,CON,w
KSINF,KS,INF,r
KSAGR,KS,AGR,y
KSRET,KS,RET,t
KSTRA,KS,TRA,h
KSNDU,KS,NDU,n
KSHLT,KS,HLT,e
KSDUR,KS,DUR,c
KSACC,KS,ACC,v
KSUTI,KS,UTI,g
KSMNG,KS,MNG,f
KSADM,KS,ADM,i
KSMIN,KS,MIN,q
KSRER,KS,RER,e
KSEDC,KS,EDC,l
KSART,KS,ART,f
KSOTH,KS,OTH,j
KSFIN,KS,FIN,f
KSWHO,KS,WHO,m
KSPRO,KS,PRO,e
KSGOV,KS,GOV,x
KSCON,KS,CON,b
KYINF,KY,INF,p
KYAGR,KY,AGR,b
KYRET,KY,RET,a
KYTRA,KY,TRA,v
KYNDU,KY,NDU,q
KYHLT,KY,HLT,e
KYDUR,KY,DUR,w
KYACC,KY,ACC,t
KYUTI,KY,UTI,g
KYMNG,KY,MNG,g
KYADM,KY,ADM,i
KYMIN,KY,MIN,s
KYRER,KY,RER,k
KYEDC,KY,EDC,l
KYART,KY,ART,h
KYOTH,KY,OTH,j
KYFIN,KY,FIN,n
KYWHO,KY,WHO,t
KYPRO,KY,PRO,e
KYGOV,KY,GOV,x
KYCON,KY,CON,j
LAINF,LA,INF,m
LAAGR,LA,AGR,q
LARET,LA,RET,o
LATRA,LA,TRA,q
LANDU,LA,NDU,d
LAHLT,LA,HLT,e
LADUR,LA,DUR,c
LAACC,LA,ACC,f
LAUTI,LA,UTI,g
LAMNG,LA,MNG,g
LAADM,LA,ADM,m
LAMIN,LA,MIN,u
LARER,LA,RER,k
LAEDC,LA,EDC,k
LAART,LA,ART,d
LAOTH,LA,OTH,d
LAFIN,LA,FIN,n
LAWHO,LA,WHO,t
LAPRO,LA,PRO,k
LAGOV,LA,GOV,x
LACON,LA,CON,u
MEINF,ME,INF,a
MEAGR,ME,AGR,b
MERET,ME,RET,a
METRA,ME,TRA,r
MENDU,ME,NDU,s
MEHLT,ME,HLT,e
MEDUR,ME,DUR,g
MEACC,ME,ACC,w
MEUTI,ME,UTI,q
MEMNG,ME,MNG,f
MEADM,ME,ADM,k
MEMIN,ME,MIN,m
MERER,ME,RER,k
MEEDC,ME,EDC,k
MEART,ME,ART,f
MEOTH,ME,OTH,j
MEFIN,ME,FIN,n
MEWHO,ME,WHO,t
MEPRO,ME,PRO,h
MEGOV,ME,GOV,r
MECON,ME,CON,d
MDINF,MD,INF,g
MDAGR,MD,AGR,b
MDRET,MD,RET,a
MDTRA,MD,TRA,t
MDNDU,MD,NDU,u
MDHLT,MD,HLT,e
MDDUR,MD,DUR,e
MDACC,MD,ACC,a
MDUTI,MD,UTI,k
MDMNG,MD,MNG,f
MDADM,MD,ADM,i
MDMIN,MD,MIN,j
MDRER,MD,RER,e
MDEDC,MD,EDC,k
