"","eu_clusted@cluster","eu_clusted@cluster"
"IAEDC",12,12
"IAART",16,16
"IAOTH",10,10
"IAFIN",14,14
"IAWHO",9,9
"IAPRO",5,5
"IAGOV",5,5
"IACON",23,23
"KSINF",18,18
"KSAGR",25,25
"KSRET",20,20
"KSTRA",8,8
"KSNDU",14,14
"KSHLT",5,5
"KSDUR",3,3
"KSACC",22,22
"KSUTI",7,7
"KSMNG",6,6
"KSADM",9,9
"KSMIN",17,17
"KSRER",5,5
"KSEDC",12,12
"KSART",6,6
"KSOTH",10,10
"KSFIN",6,6
"KSWHO",13,13
"KSPRO",5,5
"KSGOV",24,24
"KSCON",2,2
"KYINF",16,16
"KYAGR",2,2
"KYRET",1,1
"KYTRA",22,22
"KYNDU",17,17
"KYHLT",5,5
"KYDUR",23,23
"KYACC",20,20
"KYUTI",7,7
"KYMNG",7,7
"KYADM",9,9
"KYMIN",19,19
"KYRER",11,11
"KYEDC",12,12
"KYART",8,8
"KYOTH",10,10
"KYFIN",14,14
"KYWHO",20,20
"KYPRO",5,5
"KYGOV",24,24
"KYCON",10,10
"LAINF",13,13
"LAAGR",17,17
"LARET",15,15
"LATRA",17,17
"LANDU",4,4
"LAHLT",5,5
"LADUR",3,3
"LAACC",6,6
"LAUTI",7,7
"LAMNG",7,7
"LAADM",13,13
"LAMIN",21,21
"LARER",11,11
"LAEDC",11,11
"LAART",4,4
"LAOTH",4,4
"LAFIN",14,14
"LAWHO",20,20
"LAPRO",11,11
"LAGOV",24,24
"LACON",21,21
"MEINF",1,1
"MEAGR",2,2
"MERET",1,1
"METRA",18,18
"MENDU",19,19
"MEHLT",5,5
"MEDUR",7,7
"MEACC",23,23
"MEUTI",17,17
"MEMNG",6,6
"MEADM",11,11
"MEMIN",13,13
"MERER",11,11
"MEEDC",11,11
"MEART",6,6
"MEOTH",10,10
"MEFIN",14,14
"MEWHO",20,20
"MEPRO",8,8
"MEGOV",18,18
"MECON",4,4
"MDINF",7,7
"MDAGR",2,2
"MDRET",1,1
"MDTRA",20,20
"MDNDU",21,21
"MDHLT",5,5
"MDDUR",5,5
"MDACC",1,1
"MDUTI",11,11
"MDMNG",6,6
"MDADM",9,9
"MDMIN",10,10
"MDRER",5,5
"MDEDC",11,11
"MDART",6,6
"MDOTH",10,10
"MDFIN",2,2
"MDWHO",15,15
"MDPRO",11,11
"MDGOV",11,11
"MDCON",4,4
"MAINF",5,5
"MAAGR",21,21
"MARET",1,1
"MATRA",20,20
"MANDU",3,3
"MAHLT",5,5
"MADUR",11,11
"MAACC",6,6
"MAUTI",13,13
"MAMNG",6,6
"MAADM",8,8
"MAMIN",2,2
"MARER",9,9
"MAEDC",11,11
"MAART",6,6
"MAOTH",10,10
"MAFIN",14,14
"MAWHO",20,20
"MAPRO",5,5
"MAGOV",16,16
"MACON",22,22
"MIINF",8,8
"MIAGR",25,25
"MIRET",1,1
"MITRA",22,22
"MINDU",2,2
"MIHLT",5,5
"MIDUR",23,23
"MIACC",23,23
"MIUTI",7,7
"MIMNG",1,1
"MIADM",23,23
"MIMIN",7,7
"MIRER",6,6
"MIEDC",12,12
"MIART",4,4
"MIOTH",10,10
"MIFIN",2,2
"MIWHO",20,20
"MIPRO",6,6
"MIGOV",19,19
"MICON",22,22
"MNINF",5,5
"MNAGR",25,25
"MNRET",20,20
"MNTRA",8,8
"MNNDU",2,2
"MNHLT",5,5
"MNDUR",9,9
"MNACC",1,1
"MNUTI",7,7
"MNMNG",13,13
"MNADM",8,8
"MNMIN",7,7
"MNRER",9,9
"MNEDC",12,12
"MNART",8,8
"MNOTH",10,10
"MNFIN",14,14
"MNWHO",6,6
"MNPRO",8,8
"MNGOV",18,18
"MNCON",10,10
"MSINF",8,8
"MSAGR",2,2
"MSRET",1,1
"MSTRA",20,20
"MSNDU",4,4
"MSHLT",5,5
"MSDUR",3,3
"MSACC",4,4
"MSUTI",7,7
"MSMNG",8,8
"MSADM",9,9
"MSMIN",17,17
"MSRER",16,16
"MSEDC",12,12
"MSART",19,19
"MSOTH",4,4
"MSFIN",17,17
"MSWHO",20,20
"MSPRO",16,16
"MSGOV",21,21
"MSCON",19,19
"MOINF",16,16
"MOAGR",25,25
"MORET",1,1
"MOTRA",10,10
"MONDU",4,4
"MOHLT",5,5
"MODUR",23,23
"MOACC",22,22
"MOUTI",7,7
"MOMNG",2,2
"MOADM",9,9
"MOMIN",4,4
"MORER",11,11
"MOEDC",12,12
"MOART",17,17
"MOOTH",4,4
"MOFIN",24,24
"MOWHO",20,20
"MOPRO",8,8
"MOGOV",21,21
"MOCON",4,4
"MTINF",5,5
"MTAGR",8,8
"MTRET",16,16
"MTTRA",17,17
"MTNDU",3,3
"MTHLT",5,5
"MTDUR",6,6
"MTACC",6,6
"MTUTI",7,7
"MTMNG",9,9
"MTADM",11,11
"MTMIN",17,17
"MTRER",9,9
"MTEDC",11,11
"MTART",13,13
"MTOTH",10,10
"MTFIN",17,17
"MTWHO",6,6
"MTPRO",5,5
"MTGOV",16,16
"MTCON",10,10
"NEINF",8,8
"NEAGR",25,25
"NERET",20,20
"NETRA",6,6
"NENDU",12,12
"NEHLT",5,5
"NEDUR",17,17
"NEACC",6,6
"NEUTI",5,5
"NEMNG",6,6
"NEADM",6,6
"NEMIN",3,3
"NERER",9,9
"NEEDC",24,24
"NEART",6,6
"NEOTH",10,10
"NEFIN",14,14
"NEWHO",13,13
"NEPRO",11,11
"NEGOV",7,7
"NECON",19,19
"NVINF",8,8
"NVAGR",25,25
"NVRET",1,1
"NVTRA",8,8
"NVNDU",15,15
"NVHLT",5,5
"NVDUR",13,13
"NVACC",10,10
"NVUTI",17,17
"NVMNG",20,20
"NVADM",20,20
"NVMIN",24,24
"NVRER",15,15
"NVEDC",11,11
"NVART",23,23
"NVOTH",10,10
"NVFIN",22,22
"NVWHO",15,15
"NVPRO",15,15
"NVGOV",16,16
"NVCON",4,4
"NHINF",8,8
"NHAGR",6,6
"NHRET",19,19
"NHTRA",1,1
"NHNDU",15,15
"NHHLT",5,5
"NHDUR",8,8
"NHACC",23,23
"NHUTI",12,12
"NHMNG",2,2
"NHADM",5,5
"NHMIN",4,4
"NHRER",9,9
"NHEDC",16,16
"NHART",6,6
"NHOTH",4,4
"NHFIN",6,6
"NHWHO",20,20
"NHPRO",8,8
"NHGOV",19,19
"NHCON",10,10
"NJINF",8,8
"NJAGR",2,2
"NJRET",1,1
"NJTRA",16,16
"NJNDU",4,4
"NJHLT",5,5
"NJDUR",20,20
"NJACC",10,10
"NJUTI",9,9
"NJMNG",6,6
"NJADM",6,6
"NJMIN",2,2
"NJRER",11,11
"NJEDC",11,11
"NJART",13,13
"NJOTH",4,4
"NJFIN",17,17
"NJWHO",20,20
"NJPRO",5,5
"NJGOV",19,19
"NJCON",10,10
"NMINF",16,16
"NMAGR",2,2
"NMRET",15,15
"NMTRA",3,3
"NMNDU",6,6
"NMHLT",5,5
"NMDUR",4,4
"NMACC",18,18
"NMUTI",7,7
"NMMNG",2,2
"NMADM",16,16
"NMMIN",6,6
"NMRER",11,11
"NMEDC",24,24
"NMART",17,17
"NMOTH",4,4
"NMFIN",14,14
"NMWHO",10,10
"NMPRO",16,16
"NMGOV",19,19
"NMCON",4,4
"NYINF",5,5
"NYAGR",25,25
"NYRET",20,20
"NYTRA",8,8
"NYNDU",18,18
"NYHLT",5,5
"NYDUR",9,9
"NYACC",6,6
"NYUTI",7,7
"NYMNG",6,6
"NYADM",8,8
"NYMIN",18,18
"NYRER",9,9
"NYEDC",5,5
"NYART",11,11
"NYOTH",10,10
"NYFIN",14,14
"NYWHO",23,23
"NYPRO",8,8
"NYGOV",17,17
"NYCON",18,18
"NCINF",8,8
"NCAGR",2,2
"NCRET",1,1
"NCTRA",20,20
"NCNDU",19,19
"NCHLT",5,5
"NCDUR",13,13
"NCACC",6,6
"NCUTI",12,12
"NCMNG",6,6
"NCADM",9,9
"NCMIN",4,4
"NCRER",9,9
"NCEDC",16,16
"NCART",9,9
"NCOTH",10,10
"NCFIN",25,25
"NCWHO",20,20
"NCPRO",5,5
"NCGOV",16,16
"NCCON",10,10
"NDINF",5,5
"NDAGR",16,16
"NDRET",9,9
"NDTRA",9,9
"NDNDU",13,13
"NDHLT",5,5
"NDDUR",23,23
"NDACC",9,9
"NDUTI",9,9
"NDMNG",6,6
"NDADM",9,9
"NDMIN",9,9
"NDRER",9,9
"NDEDC",11,11
"NDART",7,7
"NDOTH",6,6
"NDFIN",9,9
"NDWHO",9,9
"NDPRO",9,9
"NDGOV",7,7
"NDCON",9,9
"OHINF",7,7
"OHAGR",25,25
"OHRET",1,1
"OHTRA",15,15
"OHNDU",2,2
"OHHLT",5,5
"OHDUR",10,10
"OHACC",23,23
"OHUTI",7,7
"OHMNG",6,6
"OHADM",9,9
"OHMIN",8,8
"OHRER",9,9
"OHEDC",24,24
"OHART",6,6
"OHOTH",10,10
"OHFIN",14,14
"OHWHO",20,20
"OHPRO",5,5
"OHGOV",19,19
"OHCON",22,22
"OKINF",20,20
"OKAGR",6,6
"OKRET",6,6
"OKTRA",6,6
"OKNDU",18,18
"OKHLT",5,5
"OKDUR",3,3
"OKACC",18,18
"OKUTI",7,7
"OKMNG",9,9
"OKADM",9,9
"OKMIN",6,6
"OKRER",9,9
"OKEDC",12,12
"OKART",6,6
"OKOTH",4,4
"OKFIN",14,14
"OKWHO",9,9
"OKPRO",9,9
"OKGOV",16,16
"OKCON",17,17
"ORINF",8,8
"ORAGR",2,2
"ORRET",1,1
"ORTRA",1,1
"ORNDU",2,2
"ORHLT",5,5
"ORDUR",5,5
"ORACC",6,6
"ORUTI",7,7
"ORMNG",6,6
"ORADM",20,20
"ORMIN",4,4
"ORRER",8,8
"OREDC",11,11
"ORART",6,6
"OROTH",10,10
"ORFIN",14,14
"ORWHO",10,10
"ORPRO",5,5
"ORGOV",16,16
"ORCON",10,10
"PAINF",5,5
"PAAGR",2,2
"PARET",22,22
"PATRA",20,20
"PANDU",18,18
"PAHLT",5,5
"PADUR",23,23
"PAACC",23,23
"PAUTI",7,7
"PAMNG",9,9
"PAADM",9,9
"PAMIN",6,6
"PARER",11,11
"PAEDC",11,11
"PAART",11,11
"PAOTH",10,10
"PAFIN",14,14
"PAWHO",23,23
"PAPRO",5,5
"PAGOV",19,19
"PACON",22,22
"RIINF",24,24
"RIRET",22,22
"RITRA",17,17
"RINDU",2,2
"RIHLT",11,11
"RIDUR",1,1
"RIACC",23,23
"RIUTI",13,13
"RIMNG",6,6
"RIADM",6,6
"RIRER",17,17
"RIEDC",16,16
"RIART",6,6
"RIOTH",10,10
"RIFIN",14,14
"RIWHO",6,6
"RIPRO",8,8
"RIGOV",4,4
"RICON",4,4
"SCINF",8,8
"SCAGR",2,2
"SCRET",1,1
"SCTRA",1,1
"SCNDU",3,3
"SCHLT",5,5
"SCDUR",6,6
"SCACC",6,6
"SCUTI",7,7
"SCMNG",20,20
"SCADM",9,9
"SCMIN",2,2
"SCRER",9,9
"SCEDC",11,11
"SCART",11,11
"SCOTH",10,10
"SCFIN",17,17
"SCWHO",20,20
"SCPRO",5,5
"SCGOV",13,13
"SCCON",10,10
"SDINF",5,5
"SDAGR",25,25
"SDRET",6,6
"SDTRA",22,22
"SDNDU",6,6
"SDHLT",5,5
"SDDUR",9,9
"SDACC",20,20
"SDUTI",7,7
"SDMNG",6,6
"SDADM",11,11
"SDMIN",16,16
"SDRER",9,9
"SDEDC",12,12
"SDART",12,12
"SDOTH",22,22
"SDFIN",17,17
"SDWHO",9,9
"SDPRO",9,9
"SDGOV",21,21
"SDCON",2,2
"TNINF",5,5
"TNAGR",2,2
"TNRET",1,1
"TNTRA",22,22
"TNNDU",3,3
"TNHLT",5,5
"TNDUR",23,23
"TNACC",1,1
"TNUTI",12,12
"TNMNG",6,6
"TNADM",9,9
"TNMIN",4,4
"TNRER",9,9
"TNEDC",7,7
"TNART",6,6
"TNOTH",10,10
"TNFIN",14,14
"TNWHO",20,20
"TNPRO",5,5
"TNGOV",25,25
"TNCON",10,10
"TXINF",8,8
"TXAGR",2,2
"TXRET",6,6
"TXTRA",8,8
"TXNDU",3,3
"TXHLT",5,5
"TXDUR",9,9
"TXACC",6,6
"TXUTI",7,7
"TXMNG",5,5
"TXADM",9,9
"TXMIN",6,6
"TXRER",9,9
"TXEDC",11,11
"TXART",6,6
"TXOTH",20,20
"TXFIN",6,6
"TXWHO",9,9
"TXPRO",5,5
"TXGOV",5,5
"TXCON",20,20
"UTINF",8,8
"UTAGR",6,6
"UTRET",20,20
"UTTRA",8,8
"UTNDU",16,16
