,РО,УБ,УВ,УУ
2018-01-01,135528,-121081,-42459,-2296
2018-02-01,122425,-104449,-36546,-1936
2018-03-01,132937,-124026,-43133,-2249
2018-04-01,123297,-114711,-40387,-2270
2018-05-01,136867,-117526,-42709,-2570
2018-06-01,131697,-107112,-39264,-2214
2018-07-01,146142,-108504,-41597,-2377
2018-08-01,149233,-106345,-39198,-2279
2018-09-01,131897,-99773,-34437,-1930
2018-10-01,142492,-107606,-40568,-1969
2018-11-01,126668,-98547,-38465,-1737
2018-12-01,120133,-105619,-38109,-1712
2019-01-01,121482,-124570,-39210,-2013
