"","eu_clusted@cluster","eu_clusted@cluster"
"IAMIN",11,11
"IARER",3,3
"IAEDC",7,7
"IAART",7,7
"IAOTH",2,2
"IAFIN",4,4
"IAWHO",9,9
"IAPRO",1,1
"IAGOV",4,4
"IACON",5,5
"KSINF",5,5
"KSAGR",5,5
"KSRET",9,9
"KSTRA",5,5
"KSNDU",9,9
"KSHLT",9,9
"KSDUR",3,3
"KSACC",2,2
"KSUTI",2,2
"KSMNG",6,6
"KSADM",1,1
"KSMIN",6,6
"KSRER",3,3
"KSEDC",7,7
"KSART",8,8
"KSOTH",2,2
"KSFIN",5,5
"KSWHO",9,9
"KSPRO",5,5
"KSGOV",4,4
"KSCON",1,1
"KYINF",1,1
"KYAGR",2,2
"KYRET",3,3
"KYTRA",9,9
"KYNDU",3,3
"KYHLT",3,3
"KYDUR",4,4
"KYACC",5,5
"KYUTI",2,2
"KYMNG",2,2
"KYADM",1,1
"KYMIN",1,1
"KYRER",4,4
"KYEDC",7,7
"KYART",8,8
"KYOTH",1,1
"KYFIN",9,9
"KYWHO",3,3
"KYPRO",5,5
"KYGOV",16,16
"KYCON",5,5
"LAINF",1,1
"LAAGR",6,6
"LARET",3,3
"LATRA",9,9
"LANDU",10,10
"LAHLT",3,3
"LADUR",9,9
"LAACC",5,5
"LAUTI",1,1
"LAMNG",2,2
"LAADM",5,5
"LAMIN",4,4
"LARER",4,4
"LAEDC",6,6
"LAART",2,2
"LAOTH",1,1
"LAFIN",5,5
"LAWHO",3,3
"LAPRO",9,9
"LAGOV",16,16
"LACON",3,3
"MEINF",7,7
"MEAGR",8,8
"MERET",1,1
"METRA",7,7
"MENDU",2,2
"MEHLT",5,5
"MEDUR",2,2
"MEACC",6,6
"MEUTI",8,8
"MEMNG",8,8
"MEADM",7,7
"MEMIN",18,18
"MERER",5,5
"MEEDC",8,8
"MEART",11,11
"MEOTH",7,7
"MEFIN",2,2
"MEWHO",2,2
"MEPRO",2,2
"MEGOV",9,9
"MECON",6,6
"MDINF",3,3
"MDAGR",7,7
"MDRET",4,4
"MDTRA",5,5
"MDNDU",3,3
"MDHLT",16,16
"MDDUR",9,9
"MDACC",9,9
"MDUTI",5,5
"MDMNG",1,1
"MDADM",9,9
"MDMIN",11,11
"MDRER",15,15
"MDEDC",5,5
"MDART",2,2
"MDOTH",9,9
"MDFIN",4,4
"MDWHO",4,4
"MDPRO",10,10
"MDGOV",15,15
"MDCON",4,4
"MAINF",16,16
"MAAGR",7,7
"MARET",4,4
"MATRA",5,5
"MANDU",3,3
"MAHLT",10,10
"MADUR",16,16
"MAACC",3,3
"MAUTI",5,5
"MAMNG",3,3
"MAADM",3,3
"MAMIN",12,12
"MARER",15,15
"MAEDC",3,3
"MAART",1,1
"MAOTH",9,9
"MAFIN",10,10
"MAWHO",16,16
"MAPRO",15,15
"MAGOV",10,10
"MACON",4,4
"MIINF",3,3
"MIAGR",1,1
"MIRET",16,16
"MITRA",3,3
"MINDU",4,4
"MIHLT",10,10
"MIDUR",15,15
"MIACC",3,3
"MIUTI",9,9
"MIMNG",9,9
"MIADM",3,3
"MIMIN",6,6
"MIRER",10,10
"MIEDC",1,1
"MIART",2,2
"MIOTH",3,3
"MIFIN",16,16
"MIWHO",10,10
"MIPRO",10,10
"MIGOV",10,10
"MICON",4,4
"MNINF",3,3
"MNAGR",5,5
"MNRET",4,4
"MNTRA",9,9
"MNNDU",4,4
"MNHLT",16,16
"MNDUR",16,16
"MNACC",5,5
"MNUTI",1,1
"MNMNG",3,3
"MNADM",5,5
"MNMIN",2,2
"MNRER",10,10
"MNEDC",2,2
"MNART",2,2
"MNOTH",5,5
"MNFIN",16,16
"MNWHO",4,4
"MNPRO",4,4
"MNGOV",10,10
"MNCON",3,3
"MSINF",6,6
"MSAGR",2,2
"MSRET",9,9
"MSTRA",2,2
"MSNDU",9,9
"MSHLT",5,5
"MSDUR",9,9
"MSACC",1,1
"MSUTI",2,2
"MSMNG",7,7
"MSADM",2,2
"MSMIN",7,7
"MSRER",9,9
"MSEDC",8,8
"MSART",8,8
"MSOTH",2,2
"MSFIN",1,1
"MSWHO",5,5
"MSPRO",2,2
"MSGOV",4,4
"MSCON",1,1
"MOINF",3,3
"MOAGR",1,1
"MORET",4,4
"MOTRA",9,9
"MONDU",4,4
"MOHLT",16,16
"MODUR",4,4
"MOACC",5,5
"MOUTI",1,1
"MOMNG",9,9
"MOADM",5,5
"MOMIN",7,7
"MORER",16,16
"MOEDC",2,2
"MOART",2,2
"MOOTH",5,5
"MOFIN",4,4
"MOWHO",4,4
"MOPRO",4,4
"MOGOV",10,10
"MOCON",3,3
"MTINF",7,7
"MTAGR",6,6
"MTRET",2,2
"MTTRA",6,6
"MTNDU",6,6
"MTHLT",1,1
"MTDUR",8,8
"MTACC",7,7
"MTUTI",8,8
"MTMNG",12,12
"MTADM",8,8
"MTMIN",2,2
"MTRER",5,5
"MTEDC",12,12
"MTART",11,11
"MTOTH",8,8
"MTFIN",6,6
"MTWHO",2,2
"MTPRO",6,6
"MTGOV",5,5
"MTCON",2,2
"NEINF",2,2
"NEAGR",5,5
"NERET",5,5
"NETRA",9,9
"NENDU",5,5
"NEHLT",5,5
"NEDUR",5,5
"NEACC",6,6
"NEUTI",6,6
"NEMNG",2,2
"NEADM",2,2
"NEMIN",12,12
"NERER",9,9
"NEEDC",8,8
"NEART",11,11
"NEOTH",6,6
"NEFIN",9,9
"NEWHO",5,5
"NEPRO",1,1
"NEGOV",3,3
"NECON",2,2
"NVINF",1,1
"NVAGR",11,11
"NVRET",9,9
"NVTRA",5,5
"NVNDU",7,7
"NVHLT",5,5
"NVDUR",1,1
"NVACC",4,4
"NVUTI",6,6
"NVMNG",2,2
"NVADM",1,1
"NVMIN",1,1
"NVRER",4,4
"NVEDC",8,8
"NVART",1,1
"NVOTH",2,2
"NVFIN",5,5
"NVWHO",5,5
"NVPRO",5,5
"NVGOV",3,3
"NVCON",5,5
"NHINF",2,2
"NHAGR",12,12
"NHRET",5,5
"NHTRA",7,7
"NHNDU",6,6
"NHHLT",5,5
"NHDUR",5,5
"NHACC",6,6
"NHUTI",7,7
"NHMNG",7,7
"NHADM",6,6
"NHMIN",12,12
"NHRER",9,9
"NHEDC",7,7
"NHART",8,8
"NHOTH",7,7
"NHFIN",1,1
"NHWHO",1,1
"NHPRO",1,1
"NHGOV",9,9
"NHCON",6,6
"NJINF",16,16
"NJAGR",8,8
"NJRET",10,10
"NJTRA",4,4
"NJNDU",10,10
"NJHLT",10,10
"NJDUR",3,3
"NJACC",3,3
"NJUTI",9,9
"NJMNG",3,3
"NJADM",4,4
"NJMIN",11,11
"NJRER",14,14
"NJEDC",5,5
"NJART",1,1
"NJOTH",3,3
"NJFIN",10,10
"NJWHO",10,10
"NJPRO",10,10
"NJGOV",15,15
"NJCON",4,4
"NMINF",2,2
"NMAGR",7,7
"NMRET",5,5
"NMTRA",2,2
"NMNDU",7,7
"NMHLT",5,5
"NMDUR",2,2
"NMACC",2,2
"NMUTI",7,7
"NMMNG",11,11
"NMADM",2,2
"NMMIN",9,9
"NMRER",9,9
"NMEDC",11,11
"NMART",8,8
"NMOTH",6,6
"NMFIN",2,2
"NMWHO",2,2
"NMPRO",5,5
"NMGOV",4,4
"NMCON",2,2
"NYINF",14,14
"NYAGR",2,2
"NYRET",15,15
"NYTRA",16,16
"NYNDU",10,10
"NYHLT",14,14
"NYDUR",10,10
"NYACC",10,10
"NYUTI",4,4
"NYMNG",16,16
"NYADM",10,10
"NYMIN",7,7
"NYRER",13,13
"NYEDC",16,16
"NYART",4,4
"NYOTH",16,16
"NYFIN",13,13
"NYWHO",15,15
"NYPRO",14,14
"NYGOV",14,14
"NYCON",10,10
"NCINF",3,3
"NCAGR",5,5
"NCRET",16,16
"NCTRA",9,9
"NCNDU",15,15
"NCHLT",16,16
"NCDUR",10,10
"NCACC",3,3
"NCUTI",5,5
"NCMNG",3,3
"NCADM",3,3
"NCMIN",8,8
"NCRER",10,10
"NCEDC",5,5
"NCART",1,1
"NCOTH",9,9
"NCFIN",10,10
"NCWHO",16,16
"NCPRO",16,16
"NCGOV",15,15
"NCCON",4,4
"NDINF",7,7
"NDAGR",1,1
"NDRET",2,2
"NDTRA",6,6
"NDNDU",7,7
"NDHLT",2,2
"NDDUR",6,6
"NDACC",7,7
"NDUTI",8,8
"NDMNG",11,11
"NDADM",8,8
"NDMIN",1,1
"NDRER",1,1
"NDEDC",12,12
"NDART",12,12
"NDOTH",8,8
"NDFIN",6,6
"NDWHO",1,1
"NDPRO",7,7
"NDGOV",5,5
"NDCON",6,6
"OHINF",4,4
"OHAGR",1,1
"OHRET",10,10
"OHTRA",4,4
"OHNDU",10,10
"OHHLT",10,10
"OHDUR",15,15
"OHACC",3,3
"OHUTI",9,9
"OHMNG",4,4
"OHADM",4,4
"OHMIN",1,1
"OHRER",15,15
"OHEDC",5,5
"OHART",5,5
"OHOTH",3,3
"OHFIN",10,10
"OHWHO",10,10
"OHPRO",16,16
"OHGOV",15,15
"OHCON",4,4
"OKINF",1,1
"OKAGR",2,2
"OKRET",9,9
"OKTRA",5,5
"OKNDU",9,9
"OKHLT",3,3
"OKDUR",9,9
"OKACC",1,1
"OKUTI",2,2
"OKMNG",6,6
"OKADM",5,5
"OKMIN",16,16
"OKRER",3,3
"OKEDC",7,7
"OKART",8,8
"OKOTH",1,1
"OKFIN",5,5
"OKWHO",9,9
"OKPRO",5,5
"OKGOV",16,16
"OKCON",5,5
"ORINF",5,5
"ORAGR",1,1
"ORRET",9,9
"ORTRA",5,5
"ORNDU",5,5
"ORHLT",3,3
"ORDUR",4,4
"ORACC",5,5
"ORUTI",2,2
"ORMNG",1,1
"ORADM",5,5
"ORMIN",11,11
"ORRER",16,16
"OREDC",6,6
"ORART",7,7
"OROTH",1,1
"ORFIN",5,5
"ORWHO",3,3
"ORPRO",9,9
"ORGOV",16,16
"ORCON",5,5
"PAINF",10,10
"PAAGR",1,1
"PARET",10,10
"PATRA",4,4
"PANDU",10,10
